"ID","age","real_age","year","season","n","n_nights_network","degree","norm_degree","strength","avg_strength","longevity_5x","longevity_2y","longevity_10x"
"xena",9,1,2021,"Breeding",76,151,44,0.586666666666667,2.28400278307214,0.0519091541607305,9,9,9
"xena",9,1,2021,"Transient",133,43,82,0.621212121212121,10.3454936912645,0.126164557210542,9,9,9
"xena",9,1,2021,"Post-breeding",98,122,52,0.536082474226804,4.42524679891458,0.0851008999791265,9,9,9
"yohai",13,1,2020,"Transient",90,92,55,0.617977528089888,7.98715420021435,0.145220985458443,14,14,14
"yohai",14,1,2021,"Breeding",76,151,48,0.64,3.5261381204329,0.073461210842352,14,14,14
"yohai",14,1,2021,"Transient",133,38,86,0.651515151515151,21.8930461791547,0.254570304408775,14,14,14
"yohai",14,1,2021,"Post-breeding",98,123,56,0.577319587628866,10.2065748471126,0.18226026512701,14,14,14
"yomtov",3,1,2022,"Post-breeding",101,111,76,0.76,15.4540322640912,0.203342529790674,NA,NA,NA
"yonat",12,1,2020,"Transient",90,50,54,0.606741573033708,6.39549761210375,0.118435140964884,NA,NA,NA
"yonat",13,1,2021,"Breeding",76,87,46,0.613333333333333,3.59352516581679,0.0781201123003649,NA,NA,NA
"yonat",13,1,2021,"Transient",133,57,94,0.712121212121212,14.0313168946688,0.149269328666689,NA,NA,NA
"yonat",13,1,2021,"Post-breeding",98,118,54,0.556701030927835,6.92310438859509,0.128205636825835,NA,NA,NA
"yoyo",1,1,2020,"Transient",90,85,62,0.696629213483146,11.5729547449576,0.186660560402542,NA,NA,NA
"yoyo",2,1,2021,"Breeding",76,151,51,0.68,6.9891935131625,0.13704301006201,NA,NA,NA
"yoyo",2,1,2021,"Transient",133,86,94,0.712121212121212,15.7376434348342,0.167421738668449,NA,NA,NA
"yoyo",2,1,2021,"Post-breeding",98,122,59,0.608247422680412,14.4468304041085,0.244861532273025,NA,NA,NA
"yoyo",3,1,2022,"Breeding",104,151,73,0.70873786407767,14.5605938564727,0.199460189814695,NA,NA,NA
"yoyo",3,1,2022,"Post-breeding",101,122,76,0.76,15.9829218192193,0.210301602884464,NA,NA,NA
"yungala",4,1,2017,"Post-breeding",30,56,15,0.517241379310345,1.63750821250821,0.109167214167214,NA,NA,NA
"yungala",5,1,2018,"Post-breeding",41,55,14,0.35,2.09814995284474,0.149867853774624,NA,NA,NA
"yungala",6,1,2019,"Post-breeding",43,59,23,0.547619047619048,4.07743964519533,0.17727998457371,NA,NA,NA
"yungala",7,1,2020,"Breeding",58,73,18,0.315789473684211,0.848182077958383,0.0471212265532435,NA,NA,NA
"yungala",8,1,2021,"Breeding",76,80,45,0.6,5.13549988737288,0.114122219719397,NA,NA,NA
"yungala",8,1,2021,"Transient",133,70,85,0.643939393939394,20.0311059107489,0.235660069538222,NA,NA,NA
"yungala",9,1,2022,"Breeding",104,33,40,0.388349514563107,4.50337118958973,0.112584279739743,NA,NA,NA
