"ID","age","seq_id","seq_length","R","O","with_routine","year","age_scale","seq_length_scale","real_age"
"abel",4,"4_0",40,0.388878770535127,1,1,2020,-0.581494645721234,0.642874874150389,1
"abel",5,"5_0",114,0.537951040328206,1,1,2021,-0.386731214702424,1.83219339132861,1
"abel",6,"6_2",150,0.379307034615504,1,1,2022,-0.191967783683613,2.41078077806396,1
"addo",1,"1_4",32,0.393795952511572,1,1,2020,-1.16578493877767,0.514299899320311,1
"alex",5,"5_7",118,0.394945608496178,2,1,2022,-0.386731214702424,1.89648087874365,1
"aliwal",1,"1_9",90,0.320657422888083,1,1,2021,-1.16578493877767,1.44646846683838,1
"aliwal",2,"2_13",162,0.440599989842519,2,1,2022,-0.971021507758856,2.60364324030908,1
"alyeska",0,"0_14",28,0.300227619094593,2,1,2020,-1.36054836979648,0.450012411905272,1
"anderson",22,"22_15",43,0.526497435844227,2,1,2020,2.92424711261736,0.691090489711668,0
"anderson",23,"23_15",99,0.600777191357767,2,1,2021,3.11901054363617,1.59111531352221,0
"anderson",24,"24_15",34,0.537206046077885,2,1,2022,3.31377397465498,0.546443643027831,0
"andromeda",7,"7_17",31,0.327301025816759,2,1,2011,0.00279564733519832,0.498228027466551,1
"armstrong",1,"1_35",93,0.366716269535434,1,1,2014,-1.16578493877767,1.49468408239965,1
"armstrong",6,"6_85",32,0.36637656163799,1,1,2019,-0.191967783683613,0.514299899320311,1
"armstrong",7,"7_101",68,0.250746768872687,0,1,2020,0.00279564733519832,1.09288728605566,1
"armstrong",8,"8_103",167,0.508879033668676,1,1,2021,0.197559078354009,2.68400259957787,1
"armstrong",9,"9_111",134,0.338523575541427,2,1,2022,0.39232250937282,2.1536308284038,1
"arthur",2,"2_113",80,0.31132025350446,1,1,2022,-0.971021507758856,1.28574974830078,1
"augrabie",10,"10_119",28,0.331048985227651,1,1,2021,0.587085940391631,0.450012411905272,1
"baker",5,"5_125",38,0.412341447030233,1,1,2009,-0.386731214702424,0.61073113044287,1
"baker",6,"6_135",72,0.350299716107905,1,1,2010,-0.191967783683613,1.1571747734707,1
"baker",8,"8_137",83,0.33395089401568,2,1,2012,0.197559078354009,1.33396536386206,1
"boker",5,"5_138",24,0.438708236506435,1,1,2021,-0.386731214702424,0.385724924490233,1
"boker",6,"6_138",43,0.424874310998426,2,1,2022,-0.191967783683613,0.691090489711668,1
"caine",4,"4_141",23,0.453141349696989,1,1,2020,-0.581494645721234,0.369653052636474,1
"caine",5,"5_141",110,0.422137934221939,1,1,2021,-0.386731214702424,1.76790590391357,1
"caine",5,"5_143",16,0.75088708577066,1,1,2021,-0.386731214702424,0.257149949660156,1
"caine",6,"6_144",65,0.541085714349044,1,1,2022,-0.191967783683613,1.04467167049438,1
"cale",3,"3_156",114,0.329471032658824,1,1,2021,-0.776258076740045,1.83219339132861,1
"cale",4,"4_160",68,0.417250737740438,1,1,2022,-0.581494645721234,1.09288728605566,1
"cantata",7,"7_163",128,0.36510874374808,1,1,2022,0.00279564733519832,2.05719959728124,1
"chegovar",2,"2_165",33,0.275726382704814,1,1,2020,-0.971021507758856,0.530371771174071,1
"chegovar",3,"3_166",108,0.317157990174887,1,1,2021,-0.776258076740045,1.73576216020605,1
"colombus",12,"12_205",44,0.519405416107733,2,1,2019,0.976612802429253,0.707162361565428,1
"colombus",13,"13_205",22,0.518498704735009,1,1,2020,1.17137623344806,0.353581180782714,1
"cordellia",10,"10_231",48,0.304880473046245,1,1,2015,0.587085940391631,0.771449848980467,1
"cordellia",11,"11_246",87,0.156079640892718,0,1,2016,0.781849371410442,1.3982528512771,1
"cordellia",13,"13_247",168,0.404091866100908,1,1,2018,1.17137623344806,2.70007447143163,1
"cordellia",14,"14_254",144,0.434182245853872,1,1,2019,1.36613966446687,2.3143495469414,1
"cork",12,"12_256",34,0.588910056509192,2,1,2020,0.976612802429253,0.546443643027831,1
"dingle",2,"2_271",77,0.210925964557579,0,1,2020,-0.971021507758856,1.2375341327395,1
"dingle",3,"3_275",118,0.41344025176139,1,1,2021,-0.776258076740045,1.89648087874365,1
"dingle",4,"4_279",72,0.543188607161322,1,1,2022,-0.581494645721234,1.1571747734707,1
"doolin",3,"3_283",57,0.319872432365462,1,1,2022,-0.776258076740045,0.916096695664304,1
"dor",7,"7_284",166,0.308619200630181,0,1,2010,0.00279564733519832,2.66793072772411,1
"dor",8,"8_286",45,0.220870814187949,1,1,2011,0.197559078354009,0.723234233419188,1
"dor",8,"8_287",32,0.378878075651517,2,1,2011,0.197559078354009,0.514299899320311,1
"dor",9,"9_300",52,0.235696951767459,1,1,2012,0.39232250937282,0.835737336395506,1
"dor",10,"10_307",23,0.348956428168549,1,1,2013,0.587085940391631,0.369653052636474,1
"dor",11,"11_316",82,0.180542137264432,2,1,2014,0.781849371410442,1.3178934920083,1
"dor",11,"11_317",54,0.332584922380126,1,1,2014,0.781849371410442,0.867881080103025,1
"dor",12,"12_318",106,0.206662120505727,0,1,2015,0.976612802429253,1.70361841649853,1
"dor",12,"12_320",53,0.237672430080719,0,1,2015,0.976612802429253,0.851809208249265,1
"dor",13,"13_329",56,0.279220246668499,1,1,2016,1.17137623344806,0.900024823810544,1
"dor",14,"14_331",120,0.346026408829502,1,1,2017,1.36613966446687,1.92862462245117,1
"dor",16,"16_338",25,0.466641109519231,1,1,2019,1.7556665265045,0.401796796343993,1
"dor",16,"16_339",138,0.306437286623432,1,1,2019,1.7556665265045,2.21791831581884,1
"dor",17,"17_342",125,0.425080609779917,1,1,2020,1.95042995752331,2.00898398171997,1
"dor",19,"19_375",20,0.61492589849551,1,1,2022,2.33995681956093,0.321437437075194,1
"dorsales",0,"0_382",21,0.297447440162687,1,1,2013,-1.36054836979648,0.337509308928954,1
"eberhardt",4,"4_414",36,0.229068011620377,0,1,2013,-0.581494645721234,0.57858738673535,1
"eberhardt",5,"5_431",116,0.336720484238905,3,1,2014,-0.386731214702424,1.86433713503613,1
"eberhardt",6,"6_438",117,0.213922848252627,0,1,2015,-0.191967783683613,1.88040900688989,1
"echo",0,"0_441",15,0.359963769802554,1,1,2021,-1.36054836979648,0.241078077806396,1
"echo",1,"1_442",83,0.504398918772247,1,1,2022,-1.16578493877767,1.33396536386206,1
"edward",1,"1_445",55,0.284629270066662,1,1,2022,-1.16578493877767,0.883952951956785,1
"electra",1,"1_449",131,0.452472813126899,1,1,2014,-1.16578493877767,2.10541521284252,1
"elgin",20,"20_450",33,0.612385572650654,2,1,2022,2.53472025057974,0.530371771174071,0
"eman",5,"5_458",25,0.441155585717548,1,1,2011,-0.386731214702424,0.401796796343993,1
"eman",6,"6_469",25,0.186726452442304,0,1,2012,-0.191967783683613,0.401796796343993,1
"epsilon",1,"1_471",44,0.347736105968538,1,1,2022,-1.16578493877767,0.707162361565428,1
"erasmus",1,"1_473",104,0.38255481740482,0,1,2022,-1.16578493877767,1.67147467279101,1
"estavan",7,"7_475",36,0.429636376581036,1,1,2022,0.00279564733519832,0.57858738673535,1
"etna",3,"3_476",164,0.4313692492224,1,1,2010,-0.776258076740045,2.63578698401659,1
"etna",4,"4_478",57,0.272550790291332,1,1,2011,-0.581494645721234,0.916096695664304,1
"etna",6,"6_485",18,0.151830143291026,0,1,2013,-0.191967783683613,0.289293693367675,1
"etna",6,"6_487",20,0.497598296283963,1,1,2013,-0.191967783683613,0.321437437075194,1
"etna",7,"7_499",54,0.402086016552729,1,1,2014,0.00279564733519832,0.867881080103025,1
"etna",7,"7_500",56,0.322030973916466,1,1,2014,0.00279564733519832,0.900024823810544,1
"etna",8,"8_508",103,0.311041508660819,1,1,2015,0.197559078354009,1.65540280093725,1
"etna",10,"10_537",16,0.508706078132495,1,1,2017,0.587085940391631,0.257149949660156,1
"etretat",16,"16_548",170,0.464331417014266,1,1,2022,1.7556665265045,2.73221821513915,1
"everest",5,"5_549",122,0.365328140608608,2,1,2012,-0.386731214702424,1.96076836615869,1
"everest",8,"8_552",93,0.23618557212787,0,1,2015,0.197559078354009,1.49468408239965,1
"evermore",18,"18_554",91,0.553290053637866,2,1,2022,2.14519338854212,1.46254033869213,0
"evermore",18,"18_555",39,0.353354437620401,1,1,2022,2.14519338854212,0.626803002296629,0
"faculta",20,"20_556",23,0.5809480759199,1,1,2021,2.53472025057974,0.369653052636474,0
"faculta",21,"21_557",65,0.444770469882747,1,1,2022,2.72948368159855,1.04467167049438,0
"fiver",19,"19_558",33,0.481729875349425,1,1,2021,2.33995681956093,0.530371771174071,0
"fiver",20,"20_558",69,0.445933207011686,1,1,2022,2.53472025057974,1.10895915790942,0
"galway",2,"2_561",198,0.409814290903051,1,1,2021,-0.971021507758856,3.18223062704443,1
"galway",3,"3_561",82,0.406113126473147,1,1,2022,-0.776258076740045,1.3178934920083,1
"gamad",3,"3_563",117,0.423900044928195,1,1,2022,-0.776258076740045,1.88040900688989,1
"geenie",0,"0_564",18,0.44363186686188,1,1,2020,-1.36054836979648,0.289293693367675,1
"geenie",1,"1_566",61,0.300875946078921,1,1,2021,-1.16578493877767,0.980384183079343,1
